Shimmer_1B20_TimestampSync_Unix_CAL,Shimmer_1B20_GSR_Range_CAL,Shimmer_1B20_GSR_Skin_Conductance_CAL,Shimmer_1B20_GSR_Skin_Resistance_CAL,Shimmer_1B20_PPG_A13_CAL
ms,no_units,uS,kOhms,mV
1691463341476.02,0,39.7827711260547,25.1365093907466,630.76923076923
1691463343427.17,0,35.8464089807373,27.8967971530249,616.849816849816
1691463345378.31,0,36.1744391595137,27.6438287153652,590.47619047619
1691463347329.46,0,36.9033951123503,27.0977777777777,601.465201465201
1691463349280.60,0,38.434202613307,26.0184921763869,604.395604395604
1691463351231.75,0,36.2473347547974,27.5882352941176,609.523809523809
1691463353182.89,0,35.263244218468,28.3581395348837,602.197802197802
1691463355134.04,0,33.6595411222276,29.7092582566323,599.267399267399
1691463357085.18,0,30.9988518943742,32.2592592592592,590.47619047619
1691463359036.33,0,30.9624040967324,32.2972336668628,580.952380952381
1691463360987.47,0,29.7960745721939,33.5614678899082,579.487179487179
1691463362938.61,0,28.4839538570881,35.1074856046065,575.824175824175
1691463364889.76,0,28.301714868879,35.3335479716677,569.230769230769
1691463366840.90,0,27.8278934995352,35.935166994106,568.498168498168
1691463368792.05,0,26.9166985584896,37.1516587677725,567.032967032967
1691463370743.19,0,28.1559236783117,35.5165048543689,562.637362637362
1691463372694.34,0,27.5727589160425,36.2676801057501,568.498168498168
1691463374645.48,0,26.6251161773549,37.5585215605749,565.567765567765
1691463376596.63,0,25.6774734386674,38.9446415897799,561.904761904761
1691463378547.77,0,25.6774734386674,38.9446415897799,558.974358974358
1691463380498.92,0,26.0055036174439,38.4533987386124,557.509157509157
1691463382450.06,0,25.349443259891,39.4485981308411,560.43956043956
1691463384401.21,0,24.5475917117708,40.7371937639198,556.776556776556
1691463386352.35,0,24.2560093306361,41.2268970698722,553.113553113553
1691463388303.50,0,24.912069688189,40.1411850768105,552.380952380952
1691463390254.64,0,23.6728445683669,42.2424942263279,553.846153846153
1691463392205.79,0,23.5999489730832,42.3729729729729,550.91575091575
1691463394156.93,0,24.0008747471434,41.6651480637813,548.717948717948
1691463396108.08,0,24.0008747471434,41.6651480637813,548.717948717948
1691463398059.22,0,22.6523062343957,44.1456154465004,546.520146520146
1691463400010.37,0,23.2719187943068,42.9702427564604,545.787545787545
1691463401961.51,0,24.1466659377107,41.4135849056603,547.985347985348
1691463403912.65,0,23.5635011754414,42.4385150812065,552.380952380952
1691463405863.80,0,23.7092923660087,42.1775557263643,549.450549450549
1691463407814.94,0,23.235470996665,43.0376470588235,549.450549450549
1691463409766.09,0,22.4700672461866,44.5036496350365,547.985347985348
1691463411717.23,0,21.8140068886337,45.8421052631579,545.054945054945
1691463413668.38,0,21.1943943287226,47.1822871883061,542.124542124542
1691463415619.52,0,21.5953201027827,46.306329113924,540.65934065934
1691463417570.67,0,21.0121553405135,47.5915004336513,541.391941391941
1691463419521.81,0,20.7570207570207,48.1764705882353,539.926739926739
1691463421472.96,0,20.9757075428717,47.6741963509991,538.461538461538
1691463423424.10,0,23.4906055801578,42.5702094647013,539.194139194139
1691463425375.25,0,26.9166985584896,37.1516587677725,550.18315018315
1691463427326.39,0,28.52040165473,35.0626198083067,561.904761904761
1691463429277.54,0,32.4567638000473,30.8102189781021,570.69597069597
1691463431228.68,0,37.6687988628287,26.5471698113207,585.347985347985
1691463433179.83,0,41.5322654128624,24.0776656428258,607.326007326007
1691463435130.97,0,39.1996063637854,25.510460251046,622.710622710622
1691463437082.12,0,36.2108869571556,27.6160040261701,612.454212454212
1691463439033.26,0,35.6641699925281,28.0393459376596,601.465201465201
1691463440984.40,0,35.1174530279007,28.4758692267773,599.267399267399
1691463442935.55,0,32.8941373717493,30.4005540166204,597.069597069597
1691463444886.69,0,35.8099611830955,27.9251908396946,587.545787545787
1691463446837.84,0,38.1790680298142,26.1923627684964,599.267399267399
1691463448788.98,0,37.2314252911267,26.8590308370044,609.523809523809
1691463450740.13,0,37.4501120769777,26.7021897810219,605.128205128205
1691463452691.27,0,42.042534579848,23.7854356306892,607.326007326007
